web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751105737-20","http://sn.coinafrique.com/categorie/chiens","Chiots malamute pure","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5368072_uploaded_image1_1749564175.jpg","",""
"1751105737-21","http://sn.coinafrique.com/categorie/chiens","Métisse rock berger","75 000CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5360685_uploaded_image1_1749060096.06.jpeg","",""
"1751105737-22","http://sn.coinafrique.com/categorie/chiens","Husky et Rotweiller","300 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5357616_uploaded_image1_1748916757.jpg","",""
"1751105737-23","http://sn.coinafrique.com/categorie/chiens","Chiots bichon","200 000CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5357093_uploaded_image1_1748892640.jpg","",""
"1751105737-24","http://sn.coinafrique.com/categorie/chiens","Chiots Bouvier Bernois","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5356412_uploaded_image1_1748869590.jpg","",""
"1751105737-25","http://sn.coinafrique.com/categorie/chiens","Chiot Américain","200CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5353266_uploaded_image1_1748682865.jpg","",""
"1751105737-26","http://sn.coinafrique.com/categorie/chiens","Chiots Berger Allemand","175 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5352744_uploaded_image2_1748635949.jpeg","",""
"1751105737-27","http://sn.coinafrique.com/categorie/chiens","Bichon Maltipom","120 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5351823_uploaded_image1_1748589458.jpg","",""
"1751105737-28","http://sn.coinafrique.com/categorie/chiens","Chiots Husky","300 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341514_uploaded_image1_1747985445.jpg","",""
"1751105737-29","http://sn.coinafrique.com/categorie/chiens","Chien","130 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341402_uploaded_image1_1747971696.jpg","",""
"1751105737-30","http://sn.coinafrique.com/categorie/chiens","Chiots Malinois","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5341165_uploaded_image1_1747948139.jpg","",""
"1751105737-31","http://sn.coinafrique.com/categorie/chiens","Berger Allemand","150 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5340528_uploaded_image1_1747919294.jpg","",""
"1751105737-32","http://sn.coinafrique.com/categorie/chiens","Chiot Boerboul","275CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5338244_uploaded_image1_1747822800.jpg","",""
"1751105737-33","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","250 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5336125_uploaded_image1_1747687556.jpg","",""
"1751105737-34","http://sn.coinafrique.com/categorie/chiens","Chiot Pitbull Terrier","250 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5335882_uploaded_image1_1747679076.jpg","",""
"1751105737-35","http://sn.coinafrique.com/categorie/chiens","Chiot Rottweiler","250 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5333963_uploaded_image1_1747572738.jpg","",""
"1751105737-36","http://sn.coinafrique.com/categorie/chiens","Chien de salon","150 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332506_uploaded_image1_1747475557.jpg","",""
"1751105737-37","http://sn.coinafrique.com/categorie/chiens","Berger Allemand Femelle","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332393_uploaded_image1_1747468582.jpg","",""
"1751105737-38","http://sn.coinafrique.com/categorie/chiens","Chiot Husky","300 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5328800_uploaded_image1_1747289408.jpg","",""
"1751105737-39","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon Havanais","150 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326499_uploaded_image1_1747172729.jpg","",""
"1751105737-40","http://sn.coinafrique.com/categorie/chiens","Chiot Spitz Nain","800 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5326291_uploaded_image1_1747165396.jpg","",""
"1751105737-41","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon Maltais","115 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326102_uploaded_image1_1747153443.jpg","",""
"1751105737-42","http://sn.coinafrique.com/categorie/chiens","Chiots Berger allemend","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5325709_uploaded_image1_1747138942.jpg","",""
"1751105737-43","http://sn.coinafrique.com/categorie/chiens","Chiot Berger allemend","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5325701_uploaded_image1_1747138771.jpg","",""
"1751105737-44","http://sn.coinafrique.com/categorie/chiens","Chiot Berger allemend","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5325680_uploaded_image1_1747138126.jpg","",""
"1751105737-45","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","145 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5324558_uploaded_image1_1747076507.jpg","",""
"1751105737-46","http://sn.coinafrique.com/categorie/chiens","Chiot Rottweiller","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323434_uploaded_image1_1747041206.jpg","",""
"1751105737-47","http://sn.coinafrique.com/categorie/chiens","Chiot Husky","Prix sur demande","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5322117_uploaded_image1_1746933372.jpg","",""
"1751105737-48","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5321857_uploaded_image1_1746909799.jpg","",""
"1751105737-49","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","150 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5321695_uploaded_image1_1746899509.jpg","",""
"1751105737-50","http://sn.coinafrique.com/categorie/chiens","Chiot Rotweiller","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5321351_uploaded_image1_1746881645.jpg","",""
"1751105737-51","http://sn.coinafrique.com/categorie/chiens","Chiot Rottweiler","250 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5321335_uploaded_image1_1746881239.jpg","",""
"1751105737-52","http://sn.coinafrique.com/categorie/chiens","Chiot Cavalier king","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5319622_uploaded_image1_1746790053.jpg","",""
"1751105737-53","http://sn.coinafrique.com/categorie/chiens","Chiot Berger allemand","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5317080_uploaded_image1_1746680060.jpg","",""
"1751105737-54","http://sn.coinafrique.com/categorie/chiens","Chiots Labradors","120 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5316749_uploaded_image1_1746650873.jpg","",""
"1751105737-55","http://sn.coinafrique.com/categorie/chiens","Caniche Bichon","150 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5310916_uploaded_image1_1746349327.jpg","",""
"1751105737-56","http://sn.coinafrique.com/categorie/chiens","Chiot Rottweiler","250 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5308420_uploaded_image1_1746196778.jpg","",""
"1751105737-57","http://sn.coinafrique.com/categorie/chiens","Vente Berger Femelle","400CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5305053_uploaded_image1_1746020493.jpg","",""
"1751105737-58","http://sn.coinafrique.com/categorie/chiens","Chiot Pitbull Terrier","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_5303725_uploaded_image1_1745943692.jpg","",""
"1751105737-59","http://sn.coinafrique.com/categorie/chiens","Chiot","380 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5302773_uploaded_image1_1745911831.jpg","",""
"1751105737-60","http://sn.coinafrique.com/categorie/chiens","Chiot femelle cane corso","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299584_uploaded_image1_1745674318.jpg","",""
"1751105737-61","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5298958_uploaded_image1_1745627639.jpg","",""
"1751105737-62","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon Maltais","200CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5298661_uploaded_image1_1745611409.jpg","",""
"1751105737-63","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","Prix sur demande","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5293825_uploaded_image1_1745394897.jpg","",""
"1751105737-64","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","110 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_5293615_uploaded_image1_1745366608.jpg","",""
"1751105737-65","http://sn.coinafrique.com/categorie/chiens","Chiots Berger Allemand","Prix sur demande","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5292998_uploaded_image1_1745338229.jpg","",""
"1751105737-66","http://sn.coinafrique.com/categorie/chiens","Chiot Berger allemand","125 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5290700_uploaded_image1_1745194550.jpg","",""
"1751105737-67","http://sn.coinafrique.com/categorie/chiens","Chiens malinois","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5277780_uploaded_image1_1744399979.jpg","",""
"1751105737-68","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon Havanais","150 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5272964_uploaded_image2_1744165161.jpeg","",""
"1751105737-69","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","150 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5268192_uploaded_image1_1743934250.jpg","",""
"1751105737-70","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon  Maltais","160 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5263619_uploaded_image1_1743689869.jpg","",""
"1751105737-71","http://sn.coinafrique.com/categorie/chiens","Chiot Husky femelle","Prix sur demande","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5259188_uploaded_image1_1743466264.jpg","",""
"1751105737-72","http://sn.coinafrique.com/categorie/chiens","Chiots Dalmatiens","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256321_uploaded_image1_1743258183.jpg","",""
"1751105737-73","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","130 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5255888_uploaded_image1_1743230915.jpg","",""
"1751105737-74","http://sn.coinafrique.com/categorie/chiens","Chiots Pitbull","150 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5253443_uploaded_image1_1743081531.jpg","",""
"1751105737-75","http://sn.coinafrique.com/categorie/chiens","Chiots Husky","200 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5253441_uploaded_image1_1743081336.jpg","",""
"1751105737-76","http://sn.coinafrique.com/categorie/chiens","Chiens malinois","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5251605_uploaded_image1_1742991471.jpg","",""
"1751105737-77","http://sn.coinafrique.com/categorie/chiens","Chiots","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5249300_uploaded_image1_1742862357.jpg","",""
"1751105737-78","http://sn.coinafrique.com/categorie/chiens","Chiot","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5249290_uploaded_image1_1742861930.jpg","",""
"1751105737-79","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","135 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5245489_uploaded_image1_1742660728.jpg","",""
"1751105737-80","http://sn.coinafrique.com/categorie/chiens","Chiots  Cane Corso","400 000CFA","Sicap foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5243684_uploaded_image1_1742560976.jpg","",""
"1751105737-81","http://sn.coinafrique.com/categorie/chiens","Chiot Bichon","180 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5229118_uploaded_image1_1741812060.jpg","",""
"1751105737-82","http://sn.coinafrique.com/categorie/chiens","Chiots Berger Allemand","300 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5228717_uploaded_image1_1741792512.jpg","",""
"1751105737-83","http://sn.coinafrique.com/categorie/chiens","Chiots","150 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5222994_uploaded_image1_1741542631.jpg","",""
"1751105737-84","http://sn.coinafrique.com/categorie/chiens","Chiot Boerbull","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5222921_uploaded_image1_1741538962.jpg","",""
