web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751051085-24","https://sn.coinafrique.com/categorie/autres-animaux","Chatons Siamois","150 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_5275205_uploaded_image1_1744282516.jpg","",""
"1751051085-25","https://sn.coinafrique.com/categorie/autres-animaux","Vache","150CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5262051_uploaded_image1_1743610617.jpg","",""
"1751051085-26","https://sn.coinafrique.com/categorie/autres-animaux","Vaches Montbéliarde","900CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5262041_uploaded_image1_1743610261.jpg","",""
"1751051085-27","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","1 500CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5248885_uploaded_image1_1742843623.jpg","",""
"1751051085-28","https://sn.coinafrique.com/categorie/autres-animaux","Perroquets","60 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5237101_uploaded_image1_1742244549.jpg","",""
"1751051085-29","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Scottish","500 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5234859_uploaded_image1_1742137563.jpg","",""
"1751051085-30","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5231174_uploaded_image1_1741913580.jpg","",""
"1751051085-31","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet","60 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214349_uploaded_image1_1741104524.jpg","",""
"1751051085-32","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Angora","210 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5213818_uploaded_image1_1741086286.jpg","",""
"1751051085-33","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","550CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_5205943_uploaded_image1_1740671058.jpg","",""
"1751051085-34","https://sn.coinafrique.com/categorie/autres-animaux","Hamster","15 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5189132_uploaded_image1_1739782582.jpg","",""
"1751051085-35","https://sn.coinafrique.com/categorie/autres-animaux","Canards mâles et femelles","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5185900_uploaded_image1_1739544627.jpg","",""
"1751051085-36","https://sn.coinafrique.com/categorie/autres-animaux","Caille","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5182728_uploaded_image1_1739380241.jpg","",""
"1751051085-37","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5179428_uploaded_image1_1739207935.jpg","",""
"1751051085-38","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet perruches ondulées","20 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg","",""
"1751051085-39","https://sn.coinafrique.com/categorie/autres-animaux","Perroquets","15 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5125396_uploaded_image1_1736351628.jpg","",""
"1751051085-40","https://sn.coinafrique.com/categorie/autres-animaux","Chat Siamois","200 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5103325_uploaded_image1_1734893890.jpg","",""
"1751051085-41","https://sn.coinafrique.com/categorie/autres-animaux","Perruches ondulées","20 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5103176_uploaded_image1_1734884464.jpg","",""
"1751051085-42","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5096028_uploaded_image2_1734447537.jpeg","",""
"1751051085-43","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Siamois","235 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5092278_uploaded_image1_1734215302.jpg","",""
"1751051085-44","https://sn.coinafrique.com/categorie/autres-animaux","Poissons Aquarium","8 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5068623_uploaded_image1_1732965550.jpg","",""
"1751051085-45","https://sn.coinafrique.com/categorie/autres-animaux","Tortues terrestres","35 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5066823_uploaded_image1_1732865161.jpg","",""
"1751051085-46","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","800 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5054269_uploaded_image1_1732160455.jpg","",""
"1751051085-47","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","800 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5054268_uploaded_image1_1732160128.jpg","",""
"1751051085-48","https://sn.coinafrique.com/categorie/autres-animaux","Chat Persan","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5050095_uploaded_image1_1731948012.jpg","",""
"1751051085-49","https://sn.coinafrique.com/categorie/autres-animaux","Bœufs","800 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5042261_uploaded_image1_1731516188.jpg","",""
"1751051085-50","https://sn.coinafrique.com/categorie/autres-animaux","Mondain","140 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041931_uploaded_image1_1731508632.jpg","",""
"1751051085-51","https://sn.coinafrique.com/categorie/autres-animaux","Himalayen","265 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041105_uploaded_image1_1731466674.jpg","",""
"1751051085-52","https://sn.coinafrique.com/categorie/autres-animaux","persan pure race","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041103_uploaded_image1_1731467091.jpg","",""
"1751051085-53","https://sn.coinafrique.com/categorie/autres-animaux","British et scottish pure race","650 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041101_uploaded_image1_1731465886.jpg","",""
"1751051085-54","https://sn.coinafrique.com/categorie/autres-animaux","Dindes","25 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5035473_uploaded_image1_1731162862.jpg","",""
"1751051085-55","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","300 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5022926_uploaded_image1_1730540052.jpg","",""
"1751051085-56","https://sn.coinafrique.com/categorie/autres-animaux","Chaton de 1 mois","20 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5017864_uploaded_image1_1730286261.jpg","",""
"1751051085-57","https://sn.coinafrique.com/categorie/autres-animaux","Chèvre","60 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5009683_uploaded_image1_1729789010.jpg","",""
"1751051085-58","https://sn.coinafrique.com/categorie/autres-animaux","Caille","1 500CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg","",""
"1751051085-59","https://sn.coinafrique.com/categorie/autres-animaux","Couple dinde","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001804_uploaded_image1_1729346440.jpg","",""
"1751051085-60","https://sn.coinafrique.com/categorie/autres-animaux","Chat Siamois","170 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4997392_uploaded_image2_1729102102.jpeg","",""
"1751051085-61","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","700 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4996496_uploaded_image1_1729075617.jpg","",""
"1751051085-62","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4995019_uploaded_image1_1729000242.jpg","",""
"1751051085-63","https://sn.coinafrique.com/categorie/autres-animaux","Tortue","35 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4976748_uploaded_image1_1728036550.jpg","",""
"1751051085-64","https://sn.coinafrique.com/categorie/autres-animaux","Bleus","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4974963_uploaded_image1_1727962840.jpg","",""
"1751051085-65","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet","399 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4967605_uploaded_image1_1727643698.jpg","",""
"1751051085-66","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","4 500CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4962446_uploaded_image1_1727306903.jpg","",""
"1751051085-67","https://sn.coinafrique.com/categorie/autres-animaux","Hamster","10 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4962365_uploaded_image1_1727302829.jpg","",""
"1751051085-68","https://sn.coinafrique.com/categorie/autres-animaux","Cailles de chair","2 500CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4957482_uploaded_image1_1727090624.jpg","",""
"1751051085-69","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4956743_uploaded_image1_1727042864.jpg","",""
"1751051085-70","https://sn.coinafrique.com/categorie/autres-animaux","Pintade noire","800 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4942157_uploaded_image1_1726204107.jpg","",""
"1751051085-71","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Persan Peaky Face","590 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4941927_uploaded_image1_1726184064.jpg","",""
"1751051085-72","https://sn.coinafrique.com/categorie/autres-animaux","Chat","350 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg","",""
"1751051085-73","https://sn.coinafrique.com/categorie/autres-animaux","Chatons","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4922546_uploaded_image1_1725269043.jpg","",""
"1751051085-74","https://sn.coinafrique.com/categorie/autres-animaux","Poussins de canard","2 500CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4917429_uploaded_image1_1724966703.jpg","",""
"1751051085-75","https://sn.coinafrique.com/categorie/autres-animaux","Dinde rouge Ardenne","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4917420_uploaded_image1_1724966404.jpg","",""
"1751051085-76","https://sn.coinafrique.com/categorie/autres-animaux","Perroquets","50 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4903200_uploaded_image1_1724163057.jpg","",""
"1751051085-77","https://sn.coinafrique.com/categorie/autres-animaux","Poisson Aquarium","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg","",""
"1751051085-78","https://sn.coinafrique.com/categorie/autres-animaux","Bœufs","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_4895608_uploaded_image1_1723716978.jpg","",""
"1751051085-79","https://sn.coinafrique.com/categorie/autres-animaux","Chatons persans chinchillas purs","550 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4888897_uploaded_image1_1723397770.jpg","",""
"1751051085-80","https://sn.coinafrique.com/categorie/autres-animaux","Autruche","750 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885138_uploaded_image1_1723173640.jpg","",""
"1751051085-81","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","3 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4880858_uploaded_image1_1722971406.jpg","",""
"1751051085-82","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","3 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4880849_uploaded_image1_1722971092.jpg","",""
"1751051085-83","https://sn.coinafrique.com/categorie/autres-animaux","vache","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_4878570_uploaded_image1_1722874635.jpg","",""
"1751051085-84","https://sn.coinafrique.com/categorie/autres-animaux","Vache","350 000CFA","Gassane, Sénégal","https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg","",""
